Potential (V),Capacity (Ah),Current (A)
3.5484205,0.0851510337,0.0479937267
3.54865234,0.0852186251,0.0479939799
3.54889533,0.0852862166,0.0479936627
3.54912191,0.085353808,0.0479939768
3.54936276,0.0854213995,0.0479940805
3.5495933,0.0854889909,0.0479938091
3.54982591,0.0855565824,0.0479941324
3.55006997,0.0856241738,0.0479937054
3.55029608,0.0856917652,0.0479938823
3.55053663,0.0857593567,0.0479941294
3.55076901,0.0858269481,0.0479938152
3.5510007,0.0858945396,0.0479940897
3.55124201,0.085962131,0.0479937389
3.55146713,0.0860297224,0.0479939799
3.55170706,0.0860973139,0.0479940622
3.55193837,0.0861649053,0.047993864
3.55216899,0.0862324967,0.047994047
3.55241244,0.0863000881,0.0479936932
3.55263703,0.0863676795,0.0479939006
3.55287666,0.086435271,0.0479940927
3.55310537,0.0865028624,0.0479938365
3.553335,0.0865704538,0.0479940012
3.55357708,0.0866380452,0.0479936779
3.55379961,0.0867056366,0.0479937572
3.55403885,0.086773228,0.0479941324
3.55426825,0.0868408194,0.0479938853
3.55449781,0.0869084108,0.0479940226
3.55473606,0.0869760022,0.0479936749
3.55495913,0.0870435936,0.0479938762
3.55519944,0.0871111851,0.0479940866
3.55542457,0.0871787765,0.0479937877
3.55565321,0.0872463678,0.0479939799
3.55589337,0.0873139592,0.0479937084
3.55611651,0.0873815506,0.0479939067
3.55635293,0.087449142,0.0479941843
3.55657997,0.0875167334,0.0479938365
3.55680769,0.0875843248,0.0479940592
3.55704709,0.0876519162,0.0479936993
3.55726817,0.0877195077,0.0479938975
3.55750261,0.0877870991,0.0479942056
3.55772865,0.0878546905,0.0479937938
3.55795522,0.087922282,0.047993925
3.55819272,0.0879898734,0.0479936901
3.55841166,0.0880574648,0.0479938487
3.55864442,0.0881250563,0.0479942056
3.55886977,0.0881926477,0.047993806
3.55909467,0.0882602391,0.0479939951
3.55933048,0.0883278305,0.0479936871
3.55954881,0.0883954219,0.0479939555
3.5597834,0.0884630133,0.0479942575
3.56000754,0.0885306048,0.0479937572
3.56022831,0.0885981962,0.0479940043
3.5604626,0.0886657876,0.0479936749
3.56067917,0.088733379,0.0479938701
3.56091277,0.0888009705,0.0479941904
3.56113355,0.0888685619,0.0479937481
3.56135562,0.0889361533,0.0479940348
3.56158708,0.0890037448,0.0479937084
