Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W),Downsampled Voltage (V),Downsampled Capacity (Ah),dQ/dV from downsampled Voltage (Ah/V),dV/dQ from downsampled Cpacity (V/Ah),Downsampled Energy (Wh),Downsampled Power (W),dP/dE from downsampled Energy (W/Wh),dQ/dV from LEAN (Ah/V),Delta_V (V) in LEAN
-0.15001,21443.9739,3.9855,0.70008,,2.430500030517578,2.8528,-0.59786,,,,,2.8528,-0.5978950116550137,0.0161771561771537,2.3711391088371334,0.005599999999999999
-0.15002,21503.9757,3.9846,0.70258,0.0,,2.8628,-0.59777,,,,,2.8628,-0.5977271794871815,0.0157656735089339,2.3711391088371334,0.005599999999999999
-0.15002,21563.973,3.9835,0.70508,,0.0,2.8727,-0.5976,,,,,2.8727,-0.5975810722610743,0.0144784682518768,2.407387486128229,0.005599999999999999
-0.15002,21623.9741,3.9823,0.70758,0.0,,2.8827,-0.59742,3.9823,0.70758,-2.4419279907084785,-0.4099999999999966,2.8827,-0.5974391142191163,0.0151718175062072,2.407387486128229,0.005599999999999999
-0.15002,21683.9727,3.9813,0.71008,0.4222699999809265,0.0,2.8926,-0.59727,,,,,2.8926,-0.5972793473193494,0.016201581711865,2.407387486128229,0.005599999999999999
-0.15001,21743.9746,3.9803,0.71258,,2.4047999382019043,2.9026,-0.59708,,,,,2.9026,-0.5971166899766921,0.0166025641025662,2.407387486128229,0.005599999999999999
-0.15003,21803.9729,3.9794,0.71508,0.0,,2.9126,-0.59703,,,,,2.9126,-0.596947296037298,0.0166858008580277,2.407387486128229,0.005599999999999999
-0.15001,21863.9744,3.9783,0.71758,,0.0,2.9225,-0.59678,3.9783,0.71758,-2.5,-0.4000000000000057,2.9225,-0.5967845920745941,0.0157813566904501,2.4589514333311295,0.005599999999999999
-0.15001,21923.9754,3.9771,0.72008,,,2.9324,-0.5966,,,,,2.9324,-0.5966348251748271,0.0153901664381415,2.4589514333311295,0.005599999999999999
-0.15001,21983.973,3.9761,0.72258,0.0,0.0,2.9424,-0.59645,,,,,2.9424,-0.596478275058277,0.0154528755003724,2.4589514333311295,0.005599999999999999
-0.15001,22043.9736,3.9753,0.72508,,2.428100109100342,2.9523,-0.59633,,,,,2.9523,-0.5963272727272748,0.0158506335212642,2.4589514333311295,0.005599999999999999
-0.15001,22103.975,3.9743,0.72758,0.0,,2.9623,-0.59618,3.9743,0.72758,-2.4419279907084785,-0.4099999999999966,2.9623,-0.5961627272727292,0.0152720536827501,2.4589514333311295,0.005599999999999999
-0.15002,22163.9742,3.9733,0.73008,,0.0,2.9722,-0.59607,,,,,2.9722,-0.5960231235431255,0.0139695321513464,2.4589514333311295,0.005599999999999999
-0.15001,22223.9733,3.9721,0.73258,0.0,,2.9821,-0.59585,,,,,2.9821,-0.5958861305361326,0.0144924548574607,2.5058267068110665,0.005599999999999999
-0.15002,22283.9728,3.971,0.73508,0.4016099870204925,0.0,2.9921,-0.59573,,,,,2.9921,-0.5957345920745941,0.0151810713523836,2.5058267068110665,0.005599999999999999
-0.15001,22343.9734,3.9701,0.73758,,2.474400043487549,3.002,-0.59555,3.9701,0.73758,-2.475919142585866,-0.4050000000000011,3.002,-0.5955840326340347,0.0151409196863774,2.5058267068110665,0.005599999999999999
-0.15002,22403.9733,3.9693,0.74008,0.0,,3.0119,-0.59547,,,,,3.0119,-0.5954348018648038,0.0152197970379788,2.5058267068110665,0.005599999999999999
-0.15002,22463.9731,3.9683,0.74258,,0.0,3.0218,-0.59532,,,,,3.0218,-0.5952826806526827,0.0144080064564242,2.5058267068110665,0.005599999999999999
-0.15001,22523.9744,3.9671,0.74508,0.0,,3.0318,-0.5951,,,,,3.0318,-0.5951482750582772,0.0143027025594406,2.588904502582317,0.005599999999999999
-0.15002,22583.9738,3.9662,0.74758,,0.0,3.0417,-0.59501,3.9662,0.74758,-2.564102564102569,-0.3899999999999863,3.0417,-0.5949982284382305,0.0150667514303926,2.588904502582317,0.005599999999999999
-0.15002,22643.9737,3.9651,0.75008,0.0,2.4932000637054443,3.0516,-0.59484,,,,,3.0516,-0.5948499533799554,0.0151503378776105,2.588904502582317,0.005599999999999999
-0.15001,22703.9732,3.9644,0.75258,,,3.0615,-0.5947,,,,,3.0615,-0.5946982517482537,0.0148630830448972,2.588904502582317,0.005599999999999999
-0.15002,22763.9733,3.9634,0.75508,,0.0,3.0714,-0.59459,,,,,3.0714,-0.5945556643356664,0.0141131595677101,2.588904502582317,0.005599999999999999
-0.15001,22823.9739,3.9623,0.75758,0.0,,3.0813,-0.59438,3.9623,0.75758,-2.6073979624201087,-0.3837777777777944,3.0813,-0.5944188111888131,0.0145722963904795,2.588904502582317,0.005599999999999999
-0.15002,22883.975,3.9613,0.76008,,0.0,3.0912,-0.59427,,,,,3.0912,-0.594267132867135,0.0148854512490892,2.699736036943672,0.005599999999999999
-0.15002,22943.9735,3.9604,0.76258,0.390419989824295,2.646199941635132,3.1011,-0.59414,,,,,3.1011,-0.5941240792540812,0.014542864542868,2.699736036943672,0.005599999999999999
-0.15001,23003.974,3.9596,0.76508,,,3.111,-0.59398,,,,,3.111,-0.5939791841491862,0.0144522144522127,2.699736036943672,0.005599999999999999
-0.15001,23063.9739,3.9587,0.76758,0.0,0.0,3.1209,-0.59384,,,,,3.1209,-0.5938379254079275,0.0142403051493893,2.699736036943672,0.005599999999999999
-0.15001,23123.9729,3.9576,0.77008,,,3.1308,-0.59368,3.9576,0.77008,-2.7744525168656224,-0.3613678085574747,3.1308,-0.5936972261072282,0.0138588684043234,2.699736036943672,0.005599999999999999
-0.15002,23183.9745,3.9566,0.77258,0.0,0.0,3.1407,-0.59357,,,,,3.1407,-0.5935635198135218,0.0133856042946973,2.699736036943672,0.005599999999999999
